year,quarter,dpi_pc,cpi_sa_8284,presvote,electq,wtq16,qdates,Fatalities,r,lnr,dlnr,yhat1976,low_95_1976,high_95_1976,yhat1976a,low_90_1976,high_90_1976,yhat1976b,low_67_1976,high_67_1976,yhat1980,low_95_1980,high_95_1980,yhat1980a,low_90_1980,high_90_1980,yhat1980b,low_67_1980,high_67_1980,yhat1984,low_95_1984,high_95_1984,yhat1984a,low_90_1984,high_90_1984,yhat1984b,low_67_1984,high_67_1984,yhat1988,low_95_1988,high_95_1988,yhat1988a,low_90_1988,high_90_1988,yhat1988b,low_67_1988,high_67_1988,yhat1992,low_95_1992,high_95_1992,yhat1992a,low_90_1992,high_90_1992,yhat1992b,low_67_1992,high_67_1992,yhat1996,low_95_1996,high_95_1996,yhat1996a,low_90_1996,high_90_1996,yhat1996b,low_67_1996,high_67_1996,yhat2000,low_95_2000,high_95_2000,yhat2000a,low_90_2000,high_90_2000,yhat2000b,low_67_2000,high_67_2000,yhat2004,low_95_2004,high_95_2004,yhat2004a,low_90_2004,high_90_2004,yhat2004b,low_67_2004,high_67_2004,yhat2008,low_95_2008,high_95_2008,yhat2008a,low_90_2008,high_90_2008,yhat2008b,low_67_2008,high_67_2008
1949,1,1284,23.94333,,0,.3333333,1949q1,0,5362.662,8.587215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,2,1275,23.91667,,0,.3333333,1949q2,0,5331.011,8.581296,-2.367783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,3,1269,23.71667,,0,.3333333,1949q3,0,5350.667,8.584976,1.472092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,4,1272,23.66,,0,.3333333,1949q4,0,5376.162,8.58973,1.901627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,1,1358,23.58667,,0,.3333333,1950q1,0,5757.49,8.658257,27.41051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,2,1352,23.76667,,0,.3333333,1950q2,0,5688.64,8.646227,-4.811859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,3,1396,24.20333,,0,.3333333,1950q3,0,5767.801,8.660047,5.527878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,4,1427,24.69333,,0,.3333333,1950q4,0,5778.888,8.661966,.7678986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,1,1468,25.69667,,0,.3333333,1951q1,0,5712.803,8.650465,-4.600525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,2,1497,25.94667,,0,.3333333,1951q2,0,5769.527,8.660345,3.952026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,3,1501,25.93333,,0,.3333333,1951q3,0,5787.917,8.663527,1.272964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,4,1517,26.31667,,0,.3333333,1951q4,0,5764.408,8.659458,-1.627731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,1,1516,26.41667,,0,.3333333,1952q1,0,5738.801,8.655005,-1.781082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,2,1529,26.48667,,0,.3333333,1952q2,0,5772.716,8.660898,2.357101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,3,1562,26.66667,,0,.3333333,1952q3,0,5857.5,8.675478,5.831909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,4,1589,26.69667,44.6,1,.3333333,1952q4,190.4153,5952.054,8.691491,6.405258,45.00776,40.2905,49.72501,45.00776,41.8064,48.20911,45.00776,43.62121,46.39431,44.3982,40.7029,48.09351,44.3982,41.66559,47.13082,44.3982,43.06254,45.73386,44.46026,41.7732,47.14732,44.46026,42.39705,46.52348,44.46026,43.39647,45.52406,44.44525,42.06652,46.82398,44.44525,42.58059,46.30991,44.44525,43.45481,45.43568,44.52575,42.19406,46.85743,44.52575,42.67407,46.37742,44.52575,43.52349,45.52801,44.4467,42.29623,46.59718,44.4467,42.72371,46.1697,44.4467,43.50189,45.39151,44.34892,41.48161,47.21622,44.34892,42.03674,46.66109,44.34892,43.06893,45.6289,44.81964,40.50142,49.13786,44.81964,41.32042,48.31886,44.81964,42.86847,46.77081,44.81626,40.69244,48.94009,44.81626,41.46177,48.17075,44.81626,42.93512,46.6974
1953,1,1610,26.62,,0,.3333333,1953q1,0,6048.084,8.707497,6.402206,57.78785,55.13919,60.43652,57.78785,55.99035,59.58536,57.78785,57.00933,58.56638,58.60664,52.5033,64.70998,58.60664,54.09333,63.11995,58.60664,56.4006,60.81268,58.33591,55.91768,60.75414,58.33591,56.47911,60.19271,58.33591,57.37854,59.29328,58.30302,56.10049,60.50554,58.30302,56.57648,60.02955,58.30302,57.38595,59.22009,57.94905,55.98487,59.91323,57.94905,56.38923,59.50888,57.94905,57.10476,58.79334,58.12494,56.33913,59.91076,58.12494,56.69411,59.55577,58.12494,57.34034,58.90954,58.68211,56.29306,61.07117,58.68211,56.75559,60.60863,58.68211,57.61562,59.7486,57.00865,54.46829,59.549,57.00865,54.9501,59.06719,57.00865,55.8608,58.15649,56.888,54.50292,59.27309,56.888,54.94788,58.82813,56.888,55.80001,57.976
1953,2,1629,26.72,,0,.3333333,1953q2,0,6096.557,8.71548,3.193283,59.04061,56.34742,61.7338,59.04061,57.21288,60.86834,59.04061,58.249,59.83223,59.78275,54.21614,65.34937,59.78275,55.66634,63.89917,59.78275,57.77071,61.79479,59.55452,57.10112,62.00792,59.55452,57.67072,61.43833,59.55452,58.58323,60.52581,59.4935,57.25222,61.73477,59.4935,57.73658,61.2504,59.4935,58.56029,60.4267,59.14102,57.14782,61.13423,59.14102,57.55815,60.7239,59.14102,58.28426,59.99779,59.33231,57.52219,61.14242,59.33231,57.88201,60.7826,59.33231,58.53703,60.12758,59.85361,57.3952,62.31202,59.85361,57.87116,61.83606,59.85361,58.75616,60.95106,58.19806,55.61277,60.78336,58.19806,56.1031,60.29303,58.19806,57.02991,59.36622,58.08169,55.6504,60.51298,58.08169,56.10398,60.0594,58.08169,56.97262,59.19076
1953,3,1624,26.84333,,0,.3333333,1953q3,0,6049.919,8.7078,-3.071976,57.75916,53.96549,61.55283,57.75916,55.1846,60.33373,57.75916,56.64408,58.87424,59.09765,51.70185,66.49345,59.09765,53.62859,64.56672,59.09765,56.42446,61.77085,58.76523,55.88941,61.64106,58.76523,56.55708,60.97338,58.76523,57.62671,59.90376,58.77195,56.16013,61.38377,58.77195,56.72458,60.81933,58.77195,57.68446,59.85944,58.37226,56.018,60.72652,58.37226,56.50266,60.24186,58.37226,57.36029,59.38422,58.60946,56.5094,60.70951,58.60946,56.92685,60.29206,58.60946,57.68679,59.53212,59.235,56.4187,62.05131,59.235,56.96395,61.50605,59.235,57.97779,60.49222,57.24975,54.15152,60.34798,57.24975,54.73913,59.76036,57.24975,55.84983,58.64967,57.12759,54.20346,60.05172,57.12759,54.74898,59.5062,57.12759,55.7937,58.46148
1953,4,1613,26.89,,0,.3333333,1953q4,0,5998.512,8.699266,-3.413391,52.87313,49.15446,56.5918,52.87313,50.34946,55.3968,52.87313,51.78009,53.96616,52.27325,49.72766,54.81883,52.27325,50.39083,54.15566,52.27325,51.35315,53.19334,52.1742,50.68764,53.66075,52.1742,51.03277,53.31562,52.1742,51.58568,52.76272,52.03563,50.77446,53.29679,52.03563,51.04702,53.02424,52.03563,51.51051,52.56074,51.90595,50.71692,53.09498,51.90595,50.9617,52.8502,51.90595,51.39485,52.41705,51.72324,50.7735,52.67298,51.72324,50.96229,52.48419,51.72324,51.30597,52.14051,52.04519,50.80259,53.2878,52.04519,51.04316,53.04723,52.04519,51.49049,52.5999,51.7667,50.06705,53.46635,51.7667,50.38941,53.14399,51.7667,50.99872,52.53468,51.63574,50.07644,53.19504,51.63574,50.36734,52.90414,51.63574,50.92444,52.34704
1954,1,1623,26.95333,,0,.3333333,1954q1,0,6021.519,8.703094,1.531219,51.53186,46.36425,56.69948,51.53186,48.02488,55.03886,51.53186,50.01294,53.05079,52.09192,46.20939,57.97445,52.09192,47.74189,56.44194,52.09192,49.96569,54.21814,51.77907,50.06818,53.48996,51.77907,50.46539,53.09275,51.77907,51.10173,52.45641,51.77826,50.29804,53.25847,51.77826,50.61793,52.93858,51.77826,51.16193,52.39458,51.52787,50.1462,52.90955,51.52787,50.43064,52.62511,51.52787,50.93397,52.12178,51.48563,50.24287,52.72839,51.48563,50.48991,52.48135,51.48563,50.93962,52.03164,52.03336,50.55914,53.50758,52.03336,50.84455,53.22216,52.03336,51.37526,52.69146,50.95568,48.54786,53.36351,50.95568,49.00453,52.90683,50.95568,49.86771,52.04364,50.81668,48.56314,53.07022,50.81668,48.98355,52.64981,50.81668,49.78869,51.84467
