year,quarter,dpi_pc,cpi_sa_8284,presvote,electq,wtq16,qdates,Fatalities
1949,1,1284,23.94333267,,0,0.333333343,-44,0
1949,2,1275,23.91666603,,0,0.333333343,-43,0
1949,3,1269,23.71666718,,0,0.333333343,-42,0
1949,4,1272,23.65999985,,0,0.333333343,-41,0
1950,1,1358,23.58666611,,0,0.333333343,-40,0
1950,2,1352,23.76666641,,0,0.333333343,-39,0
1950,3,1396,24.2033329,,0,0.333333343,-38,0
1950,4,1427,24.69333267,,0,0.333333343,-37,0
1951,1,1468,25.69666672,,0,0.333333343,-36,0
1951,2,1497,25.94666672,,0,0.333333343,-35,0
1951,3,1501,25.93333435,,0,0.333333343,-34,0
1951,4,1517,26.31666565,,0,0.333333343,-33,0
1952,1,1516,26.41666603,,0,0.333333343,-32,0
1952,2,1529,26.48666573,,0,0.333333343,-31,0
1952,3,1562,26.66666603,,0,0.333333343,-30,0
1952,4,1589,26.69666672,44.59999847,1,0.333333343,-29,190.4152679
1953,1,1610,26.61999893,,0,0.333333343,-28,0
1953,2,1629,26.72000122,,0,0.333333343,-27,0
1953,3,1624,26.8433342,,0,0.333333343,-26,0
1953,4,1613,26.8900013,,0,0.333333343,-25,0
1954,1,1623,26.9533329,,0,0.333333343,-24,0
1954,2,1616,26.90999985,,0,0.333333343,-23,0
1954,3,1621,26.84000015,,0,0.333333343,-22,0
1954,4,1644,26.75666618,,0,0.333333343,-21,0
1955,1,1666,26.79333305,,0,0.333333343,-20,0
1955,2,1701,26.75666618,,0,0.333333343,-19,0
1955,3,1733,26.77666664,,0,0.333333343,-18,0
1955,4,1749,26.85666656,,0,0.333333343,-17,0
1956,1,1767,26.86000061,,0,0.333333343,-16,0
1956,2,1789,27.03666687,,0,0.333333343,-15,0
1956,3,1806,27.31666756,,0,0.333333343,-14,0
1956,4,1836,27.54999924,57.75999832,1,0.333333343,-13,0
1957,1,1848,27.77666664,,0,0.333333343,-12,0
1957,2,1865,28.01333427,,0,0.333333343,-11,0
1957,3,1880,28.26333427,,0,0.333333343,-10,0
1957,4,1871,28.39999962,,0,0.333333343,-9,0
1958,1,1870,28.73666763,,0,0.333333343,-8,0
1958,2,1879,28.93000031,,0,0.333333343,-7,0
1958,3,1911,28.91333389,,0,0.333333343,-6,0
1958,4,1926,28.94333267,,0,0.333333343,-5,0
1959,1,1946,28.99333382,,0,0.333333343,-4,0
1959,2,1980,29.04333305,,0,0.333333343,-3,0
1959,3,1980,29.19333267,,0,0.333333343,-2,0
1959,4,1998,29.37000084,,0,0.333333343,-1,0
1960,1,2009,29.39666748,,0,0.333333343,0,0
1960,2,2024,29.57333374,,0,0.333333343,1,0
1960,3,2025,29.59000015,,0,0.333333343,2,0
1960,4,2023,29.78000069,49.90999985,1,0.333333343,3,0
1961,1,2038,29.84000015,,0,0.333333343,4,0
1961,2,2060,29.82999992,,0,0.333333343,5,0
1961,3,2087,29.94666672,,0,0.333333343,6,0
1961,4,2121,29.98999977,,0,0.333333343,7,0
