YEAR,JOBHOUSU,POP2PVOT,CLOSEINC,JULYPOP,GNPCHAN,INCXGNP,,,,,,,,,,,,,,,,,,,,,,,,,
1948,,52.37,1.00,39,2.42,2.42,,,,,,,,,,,,,,,,,,,,,,,,,
1952,7.97,44.60,0.00,32,0.07,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
1956,7.60,57.76,1.00,69,0.26,0.26,,,,,,,,,,,,,,,,,,,,,,,,,
1960,8.57,49.91,-1.00,49,1.42,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
1964,10.43,61.34,1.00,74,3.11,3.11,,,,,,,,,,,,,,,,,,,,,,,,,
1968,13.25,49.60,-1.00,40,2.88,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
1972,10.24,61.79,1.00,56,4.18,4.18,,,,,,,,,,,,,,,,,,,,,,,,,
1976,9.96,48.95,0.00,45,2.33,2.33,,,,,,,,,,,,,,,,,,,,,,,,,
1980,13.16,44.70,1.00,21,-1.38,-1.38,,,,,,,,,,,,,,,,,,,,,,,,,
1984,8.84,59.17,1.00,52,3.95,3.95,,,,,,,,,,,,,,,,,,,,,,,,,
1988,11.37,53.90,0.00,51,1.91,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
1992,4.40,46.55,1.00,32,1.46,1.46,,,,,,,,,,,,,,,,,,,,,,,,,
1996,9.13,54.74,1.00,57,1.85,1.85,,,,,,,,,,,,,,,,,,,,,,,,,
2000,9.12,50.01,-1.00,59,2.52,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2004,2.93,51.24,1.00,47,2.47,2.47,,,,,,,,,,,,,,,,,,,,,,,,,
2008,5.75,46.78,0.00,31,0.81,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
