event,prob,,,Trump,Clinton,Expected Trump,Expected Clinton,,,,,
AL,0.019166667,Alabama,9,1,0,9,0,Alabama,,,,
AK,0.01,Alaska,3,1,0,3,0,Alaska,US State,Electoral Votes,US State,Electoral Votes
AZ,0.160833333,Arizona,11,1,0,11,0,Arizona,,,,
AR,0.076666667,Arkansas,6,1,0,6,0,Arkansas,,,,
CA,0.998333333,California,55,0,1,0,55,California,,num_polls,71,
CO,0.711666667,Colorado,9,0,1,0,9,Colorado,,clinton_victory,0.425833333,
CT,0.849166667,Connecticut,7,0,1,0,7,Connecticut,,tie,0.01,
DE,0.82,Delaware,3,0,1,0,3,Delaware,,,,
FL,0.348333333,Florida,29,1,0,29,0,Florida,,,,
GA,0.2075,Georgia,16,1,0,16,0,Georgia,,,,
HI,0.981666667,Hawaii,4,0,1,0,4,Hawaii,,,,
ID,0.001666667,Idaho,4,1,0,4,0,Idaho,,,,
IL,0.771666667,Illinois,20,0,1,0,20,Illinois,,,,
IN,0.115833333,Indiana,11,1,0,11,0,Indiana,,,,
IA,0.3675,Iowa,6,1,0,6,0,Iowa,,,,
KS,0.000833333,Kansas,6,1,0,6,0,Kansas,,,,
KY,0.041666667,Kentucky,8,1,0,8,0,Kentucky,,,,
LA,0.069166667,Louisiana,8,1,0,8,0,Louisiana,,,,
ME,0.744166667,Maine,4,0,1,0,4,Maine,,,,
MD,0.915,Maryland,10,0,1,0,10,Maryland,,,,
MA,0.958333333,Massachusetts,11,0,1,0,11,Massachusetts,,,,
MI,0.715833333,Michigan,16,0,1,0,16,Michigan,,,,
MN,0.53,Minnesota,10,0,1,0,10,Minnesota,,,,
MS,0.078333333,Mississippi,6,1,0,6,0,Mississippi,,,,
MO,0.036666667,Missouri,10,1,0,10,0,Missouri,,,,
MT,0.07,Montana,3,1,0,3,0,Montana,,,,
NE,0.005,Nebraska,5,1,0,5,0,Nebraska,,,,
NV,0.4075,Nevada,6,1,0,6,0,Nevada,,,,
NH,0.153333333,New Hampshire,4,1,0,4,0,New Hampshire,,,,
NJ,0.763333333,New Jersey,14,0,1,0,14,New Jersey,,,,
NM,0.551666667,New Mexico,5,0,1,0,5,New Mexico,,,,
NY,0.986666667,New York,29,0,1,0,29,New York,,,,
NC,0.530833333,North Carolina,15,0,1,0,15,North Carolina,,,,
ND,0.025,North Dakota,3,1,0,3,0,North Dakota,,,,
OH,0.334166667,Ohio,18,1,0,18,0,Ohio,,,,
OK,0.001666667,Oklahoma,7,1,0,7,0,Oklahoma,,,,
OR,0.650833333,Oregon,7,0,1,0,7,Oregon,,,,
PA,0.939166667,Pennsylvania,20,0,1,0,20,Pennsylvania,,,,
RI,0.960833333,Rhode Island,4,0,1,0,4,Rhode Island,,,,
SC,0.091666667,South Carolina,9,1,0,9,0,South Carolina,,,,
SD,0.049166667,South Dakota,3,1,0,3,0,South Dakota,,,,
TN,0.065833333,Tennessee,11,1,0,11,0,Tennessee,,,,
TX,0.059166667,Texas,38,1,0,38,0,Texas,,,,
UT,0,Utah,6,1,0,6,0,Utah,,,,
VT,0.960833333,Vermont,3,0,1,0,3,Vermont,,,,
VA,0.2825,Virginia,13,1,0,13,0,Virginia,,,,
WA,0.690833333,Washington,12,0,1,0,12,Washington,,,,
WV,0.06,West Virginia,5,1,0,5,0,West Virginia,,,,
WI,0.603333333,Wisconsin,10,0,1,0,10,Wisconsin,,,,
WY,0,Wyoming,3,1,0,3,0,Wyoming,,,,
,,,,,,267,268,,,,,
